"","X","user_name","raw_timestamp_part_1","raw_timestamp_part_2","cvtd_timestamp","new_window","num_window","roll_belt","pitch_belt","yaw_belt","total_accel_belt","kurtosis_roll_belt","kurtosis_picth_belt","kurtosis_yaw_belt","skewness_roll_belt","skewness_roll_belt.1","skewness_yaw_belt","max_roll_belt","max_picth_belt","max_yaw_belt","min_roll_belt","min_pitch_belt","min_yaw_belt","amplitude_roll_belt","amplitude_pitch_belt","amplitude_yaw_belt","var_total_accel_belt","avg_roll_belt","stddev_roll_belt","var_roll_belt","avg_pitch_belt","stddev_pitch_belt","var_pitch_belt","avg_yaw_belt","stddev_yaw_belt","var_yaw_belt","gyros_belt_x","gyros_belt_y","gyros_belt_z","accel_belt_x","accel_belt_y","accel_belt_z","magnet_belt_x","magnet_belt_y","magnet_belt_z","roll_arm","pitch_arm","yaw_arm","total_accel_arm","var_accel_arm","avg_roll_arm","stddev_roll_arm","var_roll_arm","avg_pitch_arm","stddev_pitch_arm","var_pitch_arm","avg_yaw_arm","stddev_yaw_arm","var_yaw_arm","gyros_arm_x","gyros_arm_y","gyros_arm_z","accel_arm_x","accel_arm_y","accel_arm_z","magnet_arm_x","magnet_arm_y","magnet_arm_z","kurtosis_roll_arm","kurtosis_picth_arm","kurtosis_yaw_arm","skewness_roll_arm","skewness_pitch_arm","skewness_yaw_arm","max_roll_arm","max_picth_arm","max_yaw_arm","min_roll_arm","min_pitch_arm","min_yaw_arm","amplitude_roll_arm","amplitude_pitch_arm","amplitude_yaw_arm","roll_dumbbell","pitch_dumbbell","yaw_dumbbell","kurtosis_roll_dumbbell","kurtosis_picth_dumbbell","kurtosis_yaw_dumbbell","skewness_roll_dumbbell","skewness_pitch_dumbbell","skewness_yaw_dumbbell","max_roll_dumbbell","max_picth_dumbbell","max_yaw_dumbbell","min_roll_dumbbell","min_pitch_dumbbell","min_yaw_dumbbell","amplitude_roll_dumbbell","amplitude_pitch_dumbbell","amplitude_yaw_dumbbell","total_accel_dumbbell","var_accel_dumbbell","avg_roll_dumbbell","stddev_roll_dumbbell","var_roll_dumbbell","avg_pitch_dumbbell","stddev_pitch_dumbbell","var_pitch_dumbbell","avg_yaw_dumbbell","stddev_yaw_dumbbell","var_yaw_dumbbell","gyros_dumbbell_x","gyros_dumbbell_y","gyros_dumbbell_z","accel_dumbbell_x","accel_dumbbell_y","accel_dumbbell_z","magnet_dumbbell_x","magnet_dumbbell_y","magnet_dumbbell_z","roll_forearm","pitch_forearm","yaw_forearm","kurtosis_roll_forearm","kurtosis_picth_forearm","kurtosis_yaw_forearm","skewness_roll_forearm","skewness_pitch_forearm","skewness_yaw_forearm","max_roll_forearm","max_picth_forearm","max_yaw_forearm","min_roll_forearm","min_pitch_forearm","min_yaw_forearm","amplitude_roll_forearm","amplitude_pitch_forearm","amplitude_yaw_forearm","total_accel_forearm","var_accel_forearm","avg_roll_forearm","stddev_roll_forearm","var_roll_forearm","avg_pitch_forearm","stddev_pitch_forearm","var_pitch_forearm","avg_yaw_forearm","stddev_yaw_forearm","var_yaw_forearm","gyros_forearm_x","gyros_forearm_y","gyros_forearm_z","accel_forearm_x","accel_forearm_y","accel_forearm_z","magnet_forearm_x","magnet_forearm_y","magnet_forearm_z","classe"
"523",523,"pedro",1323094985,688356,"05/12/2011 14:23","no",60,124,26.6,-3.53,20,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4,0,-0.49,-43,71,-177,-2,577,-374,164,4.68,122,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.61,0.1,-0.25,17,16,75,-375,352,489,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,-15.85090882,33.97281426,119.3159268,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.35,0.06,-0.26,19,-9,53,520,-532,-152,95.5,10,82.9,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39,-0.55,0.15,100,284,-163,-197,765,648,"A"
"575",575,"pedro",1323094987,788291,"05/12/2011 14:23","no",62,122,25.9,-3.91,19,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4,-0.03,-0.44,-38,71,-169,9,582,-371,-172,23.5,142,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.9,0.06,-0.07,16,14,96,-328,350,515,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,39.19475255,117.8848801,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,-0.22,-0.23,31,0,75,526,-525,-97,98.9,13.8,77.8,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.29,0.59,-0.13,93,263,-164,-262,775,675,"A"
"595",595,"pedro",1323094988,792323,"05/12/2011 14:23","no",63,123,25.5,-3.79,20,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.42,-0.03,-0.44,-43,70,-176,8,575,-371,26.3,38.5,-24.3,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,-0.85,0.23,392,-67,-87,747,49,-31,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.521230998,24.18421479,132.7591121,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,-0.21,0.02,19,2,77,544,-504,-96,-131,47.7,-116,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74,-2.41,-0.23,-143,-90,-207,-495,-293,199,"A"
"629",629,"pedro",1323094992,288315,"05/12/2011 14:23","no",65,123,26.2,-3.84,20,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.51,-0.03,-0.49,-41,71,-177,3,581,-380,-89.1,35.3,-135,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,-0.29,-0.05,6,9,65,-357,376,495,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.53871853,24.67824447,126.589096,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.53,0.02,-0.54,21,-15,82,550,-487,-58,108,12.5,81.8,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,0.06,0.13,67,275,-172,-238,778,663,"A"
"658",658,"pedro",1323094995,108317,"05/12/2011 14:23","no",67,122,26.4,-4.59,19,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.42,-0.03,-0.43,-45,71,-171,1,585,-375,-46.3,-2.05,-63.4,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.71,0.9,0.02,175,25,153,340,290,494,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.298515505,31.51000498,124.6781635,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.43,0.13,-0.07,17,-4,52,522,-516,-165,-177,61.7,-170,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,-2.39,-0.38,-178,162,-181,-699,191,493,"A"
"687",687,"pedro",1323094996,212295,"05/12/2011 14:23","no",68,124,26.4,-4.24,20,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.43,-0.03,-0.44,-43,69,-179,1,583,-386,-24.8,-13.6,-84.6,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33,-0.93,0.07,136,45,119,59,416,513,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,-25.9173948,21.12532127,123.3293121,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42,-0.06,-0.05,18,-22,81,527,-523,-97,116,20.4,84.7,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,1.01,0.21,50,317,-179,-343,793,680,"A"
"747",747,"adelmo",1322832774,912352,"02/12/2011 13:32","no",176,129,-40.3,168,19,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.11,-0.18,47,44,-170,187,591,-358,-92.5,36.6,102,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,-0.4,0.62,-212,-60,16,-84,184,661,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,43.52790461,-24.18129172,-106.453021,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,-0.03,0.1,-46,81,-168,-575,264,13,0,0,0,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.21,0.66,0.1,67,95,38,656,-147,26,"A"
"761",761,"adelmo",1322832775,584290,"02/12/2011 13:32","no",177,130,-40,166,19,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.11,-0.21,47,42,-173,179,586,-359,-78.3,24.4,105,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,-0.66,0.92,-219,-66,25,-116,186,664,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,45.46690784,-25.36630323,-104.0477019,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,0.06,-0.26,-48,84,-165,-571,265,11,0,0,0,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11,0.18,0.61,67,94,31,654,-114,92,"A"
"801",801,"adelmo",1322832777,328290,"02/12/2011 13:32","no",179,129,-40.1,163,18,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,0.11,-0.18,44,45,-166,182,593,-342,-7.44,5.66,114,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,-0.64,0.94,-277,-56,-31,-312,299,592,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,47.91016696,-28.6244552,-99.96696853,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,0.1,-0.11,-49,80,-146,-567,255,9,0,0,0,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.56,0.4,0.9,74,94,35,657,-128,64,"A"
"821",821,"adelmo",1322832778,400306,"02/12/2011 13:32","no",180,129,-40.3,163,18,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.11,-0.16,45,44,-163,182,596,-348,30.2,21.4,151,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,-0.5,0.77,-279,-49,-37,-330,317,556,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,42.05417284,-30.36484095,-104.0210261,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,0.05,-0.15,-52,71,-150,-582,258,10,0,0,0,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11,0.34,0.95,69,101,30,648,-165,71,"A"
"824",824,"adelmo",1322832778,544344,"02/12/2011 13:32","no",180,129,-40.3,163,18,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,0.11,-0.15,45,44,-168,183,598,-344,37.5,26.5,146,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24,-0.53,0.87,-276,-50,-36,-328,314,558,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,39.97156219,-29.0200565,-106.6680482,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,0.05,-0.11,-50,68,-153,-578,246,0,0,0,0,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64,0.56,0.05,62,96,38,656,-117,32,"A"
"838",838,"adelmo",1322832779,184418,"02/12/2011 13:32","no",181,129,-40.4,163,18,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.11,-0.18,47,46,-164,179,596,-348,58.2,42.9,110,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24,-0.55,0.85,-276,-51,-40,-330,326,555,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,40.28471144,-28.80533547,-106.5406644,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,0.05,-0.13,-50,69,-154,-587,238,16,0,0,0,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11,0.87,0.49,70,96,34,663,-96,61,"A"
"907",907,"charles",1322837831,248276,"02/12/2011 14:57","no",184,119,17.3,-2.75,18,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.11,-0.2,-28,61,-163,23,598,-339,-66,-23.3,-117,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.16,-0.37,0.49,-282,-52,-12,-350,261,567,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,28.97517014,-102.9696801,44.29110441,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.31,0.08,0.05,-6,2,3,-480,376,-183,3.12,17.7,-88.3,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.45,1.78,0.51,-191,146,45,-445,761,667,"A"
