"","X","user_name","raw_timestamp_part_1","raw_timestamp_part_2","cvtd_timestamp","new_window","num_window","roll_belt","pitch_belt","yaw_belt","total_accel_belt","gyros_belt_x","gyros_belt_y","gyros_belt_z","accel_belt_x","accel_belt_y","accel_belt_z","magnet_belt_x","magnet_belt_y","magnet_belt_z","roll_arm","pitch_arm","yaw_arm","total_accel_arm","gyros_arm_x","gyros_arm_y","gyros_arm_z","accel_arm_x","accel_arm_y","accel_arm_z","magnet_arm_x","magnet_arm_y","magnet_arm_z","roll_dumbbell","pitch_dumbbell","yaw_dumbbell","total_accel_dumbbell","gyros_dumbbell_x","gyros_dumbbell_y","gyros_dumbbell_z","accel_dumbbell_x","accel_dumbbell_y","accel_dumbbell_z","magnet_dumbbell_x","magnet_dumbbell_y","magnet_dumbbell_z","roll_forearm","pitch_forearm","yaw_forearm","total_accel_forearm","gyros_forearm_x","gyros_forearm_y","gyros_forearm_z","accel_forearm_x","accel_forearm_y","accel_forearm_z","magnet_forearm_x","magnet_forearm_y","magnet_forearm_z","classe"
"167",167,"pedro",1323094969,180387,"05/12/2011 14:22","no",46,129,28.7,1.53,21,-0.51,-0.03,-0.43,-45,68,-185,14,565,-410,-167,-9.75,151,25,-0.05,-0.02,-0.1,-212,-77,-86,-427,355,461,-93.11186058,-36.07828575,50.22203639,3,0.42,-0.13,-0.03,-11,-25,15,494,-560,-151,83.5,-1.76,108,35,0.08,-0.03,-0.05,152,235,-197,-144,747,633,"A"
"187",187,"pedro",1323094970,104275,"05/12/2011 14:22","no",47,129,28.4,0.98,21,-0.4,-0.02,-0.43,-45,70,-186,3,567,-384,-172,-9.1,145,25,-0.06,-0.02,-0.03,-219,-77,-87,-434,363,450,-43.26190002,17.55883586,109.9336377,12,0.43,-0.18,-0.36,20,-48,102,456,-584,-49,82.7,-0.56,107,34,0.24,0,-0.02,146,227,-190,-150,756,643,"A"
"190",190,"pedro",1323094970,300383,"05/12/2011 14:22","no",47,129,28.1,1.39,21,-0.42,-0.03,-0.46,-44,71,-183,1,565,-395,-173,-8.7,144,25,-0.08,-0.03,-0.05,-216,-80,-88,-432,360,449,-32.87926915,14.52588487,120.9101312,9,0.47,-0.22,-0.3,13,-29,84,467,-578,-51,82,-0.79,107,34,0.06,0.05,-0.1,150,229,-197,-154,759,657,"A"
"191",191,"pedro",1323094970,316352,"05/12/2011 14:22","no",47,129,28.1,1.45,21,-0.4,-0.03,-0.46,-45,69,-185,5,569,-400,-174,-8.65,144,25,-0.08,-0.05,-0.05,-217,-77,-87,-425,353,450,-27.65777757,20.90487645,122.0712331,9,0.47,-0.22,-0.26,19,-25,86,470,-568,-49,81.9,-0.83,107,35,0.05,0.03,-0.1,154,229,-197,-147,748,659,"A"
"197",197,"pedro",1323094970,548317,"05/12/2011 14:22","no",47,129,28,1.77,21,-0.42,-0.03,-0.43,-45,70,-183,-2,567,-388,-174,-8.05,144,25,-0.14,-0.08,0.02,-219,-76,-85,-424,359,457,-27.18662723,4.476989256,129.5082719,9,0.48,-0.13,-0.05,4,-24,86,476,-574,-39,82,-0.8,107,34,0.16,-0.02,0,148,232,-191,-149,759,658,"A"
"206",206,"pedro",1323094970,884319,"05/12/2011 14:22","no",47,129,27.9,2.3,21,-0.42,-0.05,-0.44,-46,69,-186,4,563,-405,-176,-7,143,25,-0.05,-0.05,-0.05,-215,-76,-87,-418,364,455,-23.84574407,11.8378286,130.3542142,10,0.47,-0.1,-0.26,12,-24,98,477,-562,-22,81.8,-0.32,107,34,0.11,0.05,-0.13,160,233,-184,-155,752,675,"A"
"225",225,"pedro",1323094971,472281,"05/12/2011 14:22","no",48,129,27.9,2.49,20,-0.47,-0.02,-0.44,-45,69,-183,9,574,-411,-4.86,2.88,-21.5,4,-0.37,-0.06,-0.2,5,-9,35,-416,311,504,-23.77884455,13.35356588,129.6804467,10,0.4,-0.14,-0.16,13,-23,94,476,-571,-9,80.1,-0.47,108,33,0.21,0.02,-0.07,166,219,-179,-159,757,696,"A"
"227",227,"pedro",1323094971,472331,"05/12/2011 14:22","no",48,129,27.9,2.39,21,-0.47,-0.02,-0.46,-45,70,-185,6,564,-395,-5.11,1.75,-24.2,3,-0.37,-0.13,-0.11,6,-10,28,-404,310,522,-36.73145458,8.459743742,119.295247,10,0.42,-0.18,-0.2,8,-34,88,480,-563,-15,80.1,-0.68,108,34,0.24,0.11,-0.05,167,229,-180,-160,765,701,"A"
"237",237,"pedro",1323094971,732279,"05/12/2011 14:22","no",48,129,27.8,1.94,21,-0.47,-0.02,-0.44,-45,69,-186,10,569,-387,-1.83,-2.95,-49.9,3,-0.21,-0.22,0.13,-1,-10,25,-401,324,500,-28.72839569,14.70894042,124.6113702,10,0.51,-0.08,-0.3,15,-29,97,480,-559,-18,78.7,-2.68,109,31,0.13,0.1,0.16,151,212,-154,-142,760,720,"A"
"242",242,"pedro",1323094972,32296,"05/12/2011 14:22","no",49,128,27.8,1.49,21,-0.47,-0.02,-0.46,-41,69,-186,0,565,-391,-1.09,-4.02,-65,3,-0.14,-0.21,0.05,-1,-8,27,-396,319,505,-23.90482641,16.85142129,127.640179,10,0.48,-0.11,-0.31,17,-24,97,486,-562,-19,81.8,-2.48,108,34,0,-0.13,0.2,155,246,-170,-134,749,667,"A"
"270",270,"pedro",1323094973,256352,"05/12/2011 14:22","no",50,127,27.7,1.5,21,-0.5,-0.03,-0.46,-45,68,-184,-4,568,-395,1.53,-10.3,-130,4,-0.55,0.02,0.05,7,3,41,-385,320,511,-32.21092268,12.89629309,122.2077596,10,0.43,-0.13,-0.26,13,-32,95,476,-564,-26,78.1,-0.28,110,32,0.03,0.21,-0.25,155,221,-158,-157,752,736,"A"
"271",271,"pedro",1323094973,264279,"05/12/2011 14:22","no",50,127,27.7,1.45,20,-0.48,-0.03,-0.44,-44,67,-182,-1,571,-397,1.58,-10.8,-130,5,-0.58,0.03,0.05,11,5,50,-380,319,519,-31.86071689,13.74769487,122.1846784,10,0.43,-0.13,-0.26,14,-32,96,473,-562,-26,77.8,-0.49,109,32,0,0.16,-0.26,164,215,-153,-156,756,734,"A"
"274",274,"pedro",1323094973,316294,"05/12/2011 14:22","no",50,127,27.9,1.13,21,-0.5,-0.02,-0.46,-45,73,-183,2,565,-396,1.54,-14.6,-131,7,-0.79,0.13,0,17,6,67,-332,326,526,-29.12279793,11.90932019,125.4825168,10,0.45,-0.14,-0.28,12,-29,96,479,-565,-27,77.4,-1.86,109,28,0.11,0.27,0.07,146,181,-141,-142,749,742,"A"
"277",277,"pedro",1323094973,360357,"05/12/2011 14:22","no",50,127,28,0.87,20,-0.5,-0.02,-0.44,-46,73,-181,-4,565,-385,1.58,-19.2,-132,9,-1.04,0.22,0.08,27,14,83,-288,330,558,-24.69816267,15.33998501,127.8344872,10,0.47,-0.11,-0.28,15,-24,94,485,-571,-24,78.6,-3.07,109,31,0.22,0.21,0.23,143,221,-143,-132,743,724,"A"
"279",279,"pedro",1323094973,440307,"05/12/2011 14:22","no",50,127,28,0.72,20,-0.48,-0.02,-0.46,-45,68,-181,4,576,-385,1.56,-22,-132,9,-1.17,0.27,0.08,32,17,80,-258,329,561,-27.24723378,10.98596389,127.5952704,10,0.45,-0.1,-0.25,11,-27,96,486,-564,-18,79.2,-3.15,109,30,0.14,0.02,0.18,127,217,-144,-125,741,707,"A"
"280",280,"pedro",1323094973,452313,"05/12/2011 14:22","no",50,127,28.1,0.67,20,-0.5,0,-0.48,-47,71,-181,-5,570,-389,1.5,-23.4,-132,10,-1.2,0.29,0.05,38,19,86,-232,331,562,-28.13611917,12.9275004,125.9670073,10,0.47,-0.1,-0.25,13,-28,96,484,-567,-33,79.4,-3.12,109,30,0.08,-0.03,0.16,130,218,-144,-126,744,714,"A"
"285",285,"pedro",1323094973,736284,"05/12/2011 14:22","no",50,127,27.8,0.4,20,-0.4,-0.03,-0.48,-43,68,-181,-7,575,-392,-2.55,-39.7,-128,16,-1.77,0.5,-0.03,82,33,133,-16,310,596,-29.99341189,12.25648134,124.5327407,10,0.48,-0.1,-0.25,12,-29,93,484,-558,-31,81,-0.7,108,34,0.14,-0.29,0.11,159,226,-180,-142,752,677,"A"
"296",296,"pedro",1323094974,80303,"05/12/2011 14:22","no",51,126,27.5,0.42,20,-0.4,-0.02,-0.44,-44,68,-175,2,578,-384,-71.2,-77.2,-56.3,29,-2.17,0.48,0.1,274,7,91,535,170,407,-29.23956544,15.97109486,123.5331816,10,0.48,-0.11,-0.28,16,-29,95,483,-563,-32,85.1,4.11,106,35,0.06,-0.16,-0.05,150,238,-188,-169,754,614,"A"
"311",311,"pedro",1323094974,824283,"05/12/2011 14:22","no",51,125,27.7,-1.21,20,-0.58,0,-0.52,-37,69,-181,0,577,-385,-152,-49.1,25.5,42,1.48,-1.17,-0.07,407,-45,-33,743,46,42,-23.3032811,14.48367445,129.4989904,11,0.31,-0.16,-0.25,15,-24,100,508,-543,-44,87.7,3.46,106,35,0.21,0.1,0.33,142,249,-192,-169,742,601,"A"
"324",324,"pedro",1323094975,484312,"05/12/2011 14:22","no",52,125,26.7,-0.77,20,-0.43,-0.05,-0.43,-43,71,-177,1,576,-383,38,-47.5,-168,15,1.54,-0.87,0.28,71,25,127,-101,344,587,5.417953886,21.83428794,134.5619542,6,0.56,0.35,-0.28,12,3,54,483,-562,-148,89.3,3.26,104,34,-0.02,0.05,-0.11,148,229,-187,-151,739,574,"A"
"328",328,"pedro",1323094975,815621,"05/12/2011 14:22","no",52,125,26.7,-0.98,20,-0.45,-0.05,-0.46,-38,68,-180,2,577,-378,41.7,-26,-170,7,0.45,-0.4,-0.13,-1,24,66,-387,347,477,-39.34196876,26.86141313,108.574654,7,0.93,-0.26,-0.16,18,-26,60,503,-546,-104,90.2,2.88,105,35,0.29,0,0.21,143,244,-194,-162,740,560,"A"
"333",333,"pedro",1323094976,188334,"05/12/2011 14:22","no",53,125,26.5,-0.9,20,-0.43,-0.03,-0.43,-41,72,-180,0,581,-390,38.3,-25.4,-175,7,-0.59,-0.02,-0.13,11,3,70,-402,325,494,-31.51339404,19.96885137,119.395456,8,0.69,-0.13,-0.41,16,-25,75,521,-533,-86,90.4,3.38,105,34,0.08,-0.03,-0.03,144,235,-194,-162,740,565,"A"
"352",352,"pedro",1323094976,664353,"05/12/2011 14:22","no",53,125,26.1,-0.7,20,-0.39,-0.03,-0.43,-42,71,-174,6,577,-380,151,-57.3,46.9,31,-2.76,0.58,0.13,276,5,137,607,129,340,36.25102845,48.48495674,94.51173878,10,0.48,-0.32,-0.11,46,35,80,487,-562,-58,89.9,6.11,102,34,0,0.03,-0.18,151,225,-188,-187,751,580,"A"
"366",366,"pedro",1323094977,104394,"05/12/2011 14:22","no",54,125,26.3,-1.19,20,-0.51,-0.02,-0.44,-40,68,-180,5,576,-388,166,-28.6,23.5,42,1.4,-1.11,0.25,405,-30,24,736,66,77,-20.4999976,19.51089951,128.5838977,11,0.66,0.08,-0.67,20,-21,99,510,-545,-37,90.3,4.74,102,34,0.16,0.03,0,143,238,-190,-165,745,576,"A"
"370",370,"pedro",1323094977,144292,"05/12/2011 14:22","no",54,124,26.5,-1.8,20,-0.56,-0.02,-0.46,-42,71,-179,-1,582,-381,162,-35,32.5,37,1.41,-1.03,0.07,362,-3,51,695,139,185,-31.57247928,13.74198321,122.4537794,11,0.61,0.11,-0.59,15,-34,103,493,-556,-51,90.4,4.4,102,34,0.13,0.03,-0.03,141,238,-194,-164,748,572,"A"
"380",380,"pedro",1323094979,24338,"05/12/2011 14:22","no",55,124,25.9,-1.8,20,-0.4,-0.03,-0.43,-42,72,-175,3,582,-380,125,-38.5,57.5,26,-2.67,0.47,0.2,218,5,126,470,211,450,-37.99753517,5.153636305,118.6984341,10,0.34,-0.16,0.25,5,-36,90,517,-534,-79,120,85.2,142,26,0.39,-1.62,-0.25,-145,146,-158,-705,293,522,"A"
"384",384,"pedro",1323094979,68294,"05/12/2011 14:22","no",55,124,25.9,-1.75,20,-0.42,-0.03,-0.43,-39,69,-174,3,582,-370,140,-23.5,28.9,36,-2.34,0.42,0.2,341,-11,87,682,128,233,-3.339109769,32.86025154,124.0373679,9,0.42,-0.14,-0.02,29,-3,85,516,-537,-60,-116,74.3,-93.3,31,0.59,-1.65,-0.08,-231,117,-163,-663,48,387,"A"
"389",389,"pedro",1323094979,296282,"05/12/2011 14:22","no",55,125,25.5,-1.18,20,-0.35,-0.03,-0.43,-41,71,-176,8,584,-380,146,-6.28,6.69,43,-2.41,0.66,0.15,417,-54,-28,743,33,-35,10.72149359,34.09739688,121.2040567,8,0.24,-0.26,-0.08,25,8,70,525,-519,-52,-111,51.1,-84.4,29,0.47,-1.69,-0.46,-162,-143,-191,-486,-294,182,"A"
"439",439,"pedro",1323094981,308488,"05/12/2011 14:23","no",57,124,26,-2.14,19,-0.43,-0.05,-0.46,-41,70,-173,2,580,-377,114,-24.4,99.5,15,-2.09,0.61,0.26,47,41,128,-115,357,566,3.799295349,38.96213154,117.9126194,8,0.42,-0.06,-0.13,30,3,73,533,-513,-96,105,56.8,108,35,0.53,-2.31,-0.1,-52,294,-174,-613,592,527,"A"
"453",453,"pedro",1323094981,672326,"05/12/2011 14:23","no",57,123,26.4,-3,19,-0.43,-0.03,-0.44,-36,70,-173,5,580,-358,133,1.33,21.7,35,-2.75,0.71,0.34,339,-12,57,703,125,185,9.589522736,31.64365776,123.9171778,9,0.39,-0.1,-0.13,26,8,79,513,-535,-84,-119,44.8,-107,33,0.66,-1.32,0.07,-142,-177,-227,-461,-338,112,"A"
"456",456,"pedro",1323094981,720374,"05/12/2011 14:23","no",57,123,26.1,-2.79,19,-0.35,-0.02,-0.43,-33,72,-173,1,585,-372,134,9.14,6.86,39,-2.57,0.71,0.28,383,-37,-11,744,54,-5,-1.0596011,26.80953608,130.248128,10,0.31,-0.19,0.07,25,-1,91,517,-528,-64,-119,47.7,-109,31,-0.4,1.25,0.03,-178,-105,-224,-482,-320,129,"A"
"459",459,"pedro",1323094981,892614,"05/12/2011 14:23","no",57,124,25.7,-2.43,20,-0.34,-0.03,-0.43,-43,70,-173,8,580,-379,133,14.8,-3.99,44,-2.18,0.51,0.23,413,-74,-91,736,14,-119,-25.01265409,20.59308865,124.3945627,9,0.4,-0.06,0.05,19,-23,88,516,-525,-70,-121,56.7,-115,29,-0.34,1.7,0.41,-197,-23,-200,-556,-185,216,"A"
"463",463,"pedro",1323094981,984324,"05/12/2011 14:23","yes",57,124,25.5,-2.12,20,-0.39,-0.03,-0.43,-44,70,-178,11,582,-376,132,20.4,-11.1,47,-0.63,-0.27,0.18,430,-77,-137,702,-8,-204,1.2,29.1,127.9,9,0.4,-0.14,-0.08,24,1,80,518,-533,-58,-128,68.3,-124,32,-0.56,1.73,0,-255,42,-180,-637,-24,325,"A"
"474",474,"pedro",1323094982,772292,"05/12/2011 14:23","no",58,123,26.6,-4.03,19,-0.34,-0.03,-0.39,-36,70,-170,-4,586,-372,147,2,61,25,1.57,-1.35,0.07,195,49,133,314,370,457,-28.77895528,25.50526321,118.1263504,10,0.51,-0.1,-0.49,24,-27,88,526,-519,-47,91.4,28.2,76,33,-0.53,1.51,-0.11,18,287,-153,-396,787,693,"A"
"476",476,"pedro",1323094982,972372,"05/12/2011 14:23","yes",58,123,26.3,-3.45,20,-0.37,-0.05,-0.41,-44,72,-172,2,587,-373,146,-2.52,74.2,20,1.45,-0.96,-0.25,141,60,124,117,391,523,-4.2,25.5,131.2,10,0.39,-0.08,-0.46,24,-4,92,516,-531,-73,89.5,16.5,73.3,34,-0.31,1.46,0.15,118,272,-152,-284,780,704,"A"
"477",477,"pedro",1323094983,16295,"05/12/2011 14:23","no",59,123,26.3,-3.39,20,-0.39,-0.05,-0.41,-43,72,-172,6,580,-381,146,-3.37,76.4,18,1.41,-0.9,-0.28,120,50,114,101,394,533,-11.7256693,17.09967307,136.2799862,10,0.4,-0.06,-0.46,16,-11,92,519,-526,-75,89.7,14.6,73.4,36,-0.21,1.48,0.23,135,285,-155,-262,779,700,"A"
"498",498,"pedro",1323094983,780313,"05/12/2011 14:23","no",59,124,26.1,-3.14,19,-0.43,-0.03,-0.44,-43,67,-173,-2,580,-364,136,-4.14,103,14,-1.99,0.53,-0.02,37,30,126,-215,337,574,-30.06169128,31.61555798,112.7013654,7,0.72,-0.31,-0.03,21,-20,61,518,-532,-109,100,50.6,102,35,0.58,-2.75,-0.1,-15,300,-158,-585,661,622,"A"
"506",506,"pedro",1323094983,980467,"05/12/2011 14:23","yes",59,123,26,-3.07,19,-0.39,-0.03,-0.43,-41,69,-173,0,581,-381,132,13.3,69.3,22,-2.81,0.75,0.2,144,22,160,286,259,541,-11.8,28.6,126,9,0.59,-0.11,-0.34,24,-10,81,524,-524,-94,178,79.7,-176,29,0.47,-2.12,-0.21,-146,170,-168,-706,273,489,"A"
"510",510,"pedro",1323094985,108295,"05/12/2011 14:23","no",60,124,25.9,-2.76,20,-0.39,-0.05,-0.41,-45,71,-173,3,584,-383,157,24.8,82.5,21,1.69,-1.01,-0.05,151,53,130,151,362,536,-13.06254039,24.28493848,129.3786506,10,0.51,-0.11,-0.23,24,-13,96,537,-506,-49,90.8,37.9,76.3,34,-0.14,1.83,0.48,42,298,-149,-468,770,753,"A"
"517",517,"pedro",1323094985,352323,"05/12/2011 14:23","no",60,124,26.5,-3.17,20,-0.51,-0.05,-0.43,-41,70,-179,3,581,-374,162,11.3,104,11,1.41,-0.92,0.23,35,29,99,-168,385,545,-2.129146044,32.50411456,124.5007042,10,0.34,-0.11,-0.38,30,-2,89,533,-517,-67,91.9,17.4,74.2,34,-0.32,1.17,0.2,82,284,-151,-274,785,709,"A"
"526",526,"pedro",1323094985,748421,"05/12/2011 14:23","no",60,124,26.2,-2.95,20,-0.35,-0.03,-0.46,-42,68,-174,0,581,-377,161,11.5,119,10,-1.54,0.45,-0.2,13,20,98,-283,349,541,39.24263357,48.42770952,92.41647041,6,0.75,0.05,-0.23,28,23,48,503,-536,-168,96.9,19.3,88.8,37,0.43,-1.64,-0.2,67,320,-158,-303,782,662,"A"
"532",532,"pedro",1323094985,968336,"05/12/2011 14:23","yes",60,124,26,-2.4,19,-0.42,-0.03,-0.46,-38,69,-171,8,578,-375,152,33.3,99.3,19,-2.59,0.98,-0.31,83,50,163,96,327,581,-36.1,27.5,111,8,0.92,-0.21,-0.3,20,-26,66,524,-535,-112,99.2,43.8,99.4,35,1.11,-2.3,0.11,11,309,-143,-541,718,662,"A"
"541",541,"pedro",1323094986,748293,"05/12/2011 14:23","no",61,124,25.5,-1.97,20,-0.42,-0.02,-0.46,-42,70,-174,12,579,-360,71.8,42.8,-13.3,42,-2.49,0.64,0.51,403,-51,-66,743,46,-37,-2.343446099,17.66598251,139.2556417,9,0.45,-0.02,-0.15,15,-2,84,538,-513,-81,-124,52.5,-107,26,0.71,-2.59,-0.48,-165,-39,-190,-516,-245,245,"A"
"543",543,"pedro",1323094986,764408,"05/12/2011 14:23","no",61,124,25.5,-1.97,20,-0.43,-0.02,-0.46,-40,68,-177,11,581,-376,68.7,39.7,-18.7,43,-1.93,0.53,0.21,402,-64,-116,735,-1,-101,-20.330093,34.32036407,116.7524701,9,0.45,-0.11,-0.16,30,-18,82,537,-510,-88,-123,46.3,-104,27,0.69,-2.46,-0.46,-146,-84,-203,-465,-320,188,"A"
"562",562,"pedro",1323094987,316275,"05/12/2011 14:23","no",62,123,25.7,-3.09,19,-0.35,-0.05,-0.41,-42,73,-170,10,584,-373,175,46.7,112,19,1.89,-1.19,0.25,111,45,147,74,358,559,-4.303398335,24.99639567,131.6998322,9,0.51,-0.18,-0.23,23,-4,90,537,-506,-65,96.6,59.7,88.6,30,-0.5,2.06,0.3,-110,251,-100,-655,616,767,"A"
